Niedernhausen,8.8174333,49.7739752
Billings,8.794515,49.7551306
Steinau,8.794,49.7474222
Lützelbach (Modautal),8.76662,49.7428743
Neunkirchen,8.7750291,49.7334221
Karlshorst,13.5233553,52.4837034
Königs Wusterhausen,13.6244389,52.2994511
Eichwalde,13.6219208,52.373076
Schmöckwitz,13.6488551,52.3756651
Blossin,13.7996084,52.2558558
Adlershof,13.5475496,52.4378932
Südstadt,8.4060496,49.0021606
Südweststadt,8.3849406,48.9993133
Nordstadt,8.3883417,49.0260694
Oststadt,8.4267919,49.0118481
Rüppurr,8.4044285,48.974643
Mühlburg,8.3635856,49.0133216
Rumeltshausen,11.3852946,48.3018611
Kobitzschwalde,12.0608325,50.4894346
Podemus,13.6266098,51.0611175
Oyten,9.0188655,53.0594513
Solalinden,11.7068785,48.0922094
Goldbeck,9.6299283,53.4045282
Schlopp,11.5658962,50.1974297
Stupferich,8.5080081,48.9530509
Alpirsbach,8.402855,48.3464028
Rübke,9.7664604,53.490465
Buxtehude,9.7003941,53.4767351
Estebrügge,9.7271478,53.5108968
Geisenfeld,11.6124731,48.683404
Ernsgaden,11.5729832,48.7314316
Nötting,11.6093234,48.7039924
Bad Reichenhall,12.8760923,47.7222676
Berchtesgaden,13.0021634,47.63108
Schönau am Königssee,12.9824779,47.6019818
Furth im Wald,12.8452877,49.308165
Bad Hindelang,10.3699251,47.5062921
Hinterstein,10.4072789,47.4794193
Kasendorf,11.3500213,50.0351634
Bayreuth,11.5763079,49.9427202
Stadtsteinach,11.5054549,50.1613344
Lehenthal,11.4567564,50.1546179
Hollfeld,11.2917787,49.9387119
Naurod-Erbsenacker,8.2965316,50.1266015
Lichtenfels,11.0680042,50.1453156
Baumgarten,11.4661722,50.1480571
Gumpersdorf,11.4856509,50.1399922
Zettlitz,11.4817552,50.1928167
Rugendorf,11.4619333,50.2001141
Seibelsdorf,11.4246218,50.2239182
Oberrodach,11.3965461,50.2514881
Grafendobrach,11.4400193,50.1684331
Lösau,11.4155784,50.1627556
Kirchleus,11.3863436,50.1709792
Schimmendorf,11.3583473,50.1557664
Gärtenroth,11.3350719,50.1438859
Motschenbach,11.3399878,50.0912677
Alstedde,7.4910673,51.6285639
Auringen,8.326797,50.1240907
Wonsees,11.2980709,49.9758417
Sanspareil,11.3127553,49.9826242
Richelbach,9.3985114,49.6893618
Riedern,9.3965287,49.6695459
Hirschaid,10.9895721,49.815393
Forchheim,11.059642,49.7187128
Jeebel,8.8539952,52.9589608
Lahausen,8.837635,52.9731224
Venedig,12.1849417,49.4533746
Kirchweyhe,8.8618297,52.9867787
Unter-Abtsteinach,8.787867,49.5313653
Vahrendorf,9.9073436,53.4328548
Alvesen,9.8892544,53.4374342
Wiehre,7.8487755,47.9852867
Littenweiler,7.8961055,47.9773178
Herdern,7.8626855,48.0078074
Stühlinger,7.8377315,47.9988801
Günterstal,7.8567215,47.9667841
Rieselfeld,7.7914334,47.999472
Sankt Georgen,7.802086,47.9813688
Haslach,7.8169345,47.9906144
Weingarten,7.8111146,47.9981106
Kappel,7.9086705,47.9646922
Ebnet,7.9038438,47.9859781
Schwerin,11.4148038,53.6288297
Teterow,12.5753569,53.7709505
Neukalen,12.7918145,53.8228766
Dreye,8.8781023,53.0138988
Mittenwald,11.2655684,47.4429543
Eschen,11.4414593,49.9447681
Eckersdorf,11.4987688,49.9344858
Schönfeld,11.3526881,49.9352339
Tannfeld,11.4014569,49.9819451
Limmersdorf,11.4066404,50.0105652
Finkenwerder,9.8766229,53.5316845
Drangstedt,8.7530238,53.6156419
Geestenseth,8.8619071,53.5091906
Wehdel,8.8050715,53.5086242
Vorm Moor,8.8689881,53.531202
Hainmühlen,8.8779538,53.5799198
Ringstedt,8.8466466,53.5612077
Melkendorf,11.4136092,50.0911032
Debschwitz,12.0678247,50.8651665
Zwötzen,12.0886178,50.8516264
Lusan,12.0624222,50.8460265
Kaimberg,12.1226469,50.8489636
Heggen,7.952725,51.155248
Freusburg,7.8819286,50.8258587
Helmbrechts,11.7163126,50.2349797
Brahlstorf,11.5585756,53.698698
Zinna,12.9559905,51.5687423
Welsau,12.9682369,51.5727205
Zittow,11.5272888,53.6785044
Cambs,11.5282334,53.6965163
Rampe,11.4849601,53.6852495
Wickendorf,11.429888,53.6809802
Brüel,11.7158035,53.7344671
Remplin,12.693837,53.7524926
Dohnsen,10.0230634,52.8218476
Wohlde,10.0003179,52.8135604
Dammerstock,8.3999556,48.9850514
Stralsund,13.0904622,54.3159851
Kiel,10.1371858,54.3216753
Heßloch,8.2970598,50.1103501
Rambach,8.2739417,50.1168102
Wallau,8.3723765,50.0614075
Neuhaus,10.8771582,49.6842729
Medenbach,8.34046,50.1047214
Bierstadt,8.2775925,50.0855871
Pipinsried,11.2896592,48.4052204
Thalhausen,11.2154083,48.4191138
Kloppenheim,8.3062259,50.0934492
Igstadt,8.3279451,50.0802947
Erbenheim,8.2970159,50.0560294
Bruchhausen,8.3699476,48.9259588
Ettlingenweier,8.3896132,48.9286598
Schluttenbach,8.4024783,48.8985052
Schöllbronn,8.4175818,48.895945
Spessart,8.4318781,48.9116092
Wahlstedt,10.2121481,53.9528957
Padenstedt-Kamp,9.9505783,54.050398
Hoheluft,10.1847324,53.9862289
Padenstedt,9.9173133,54.04882
Rickling,10.1675903,54.0057238
Neurod,8.4599771,48.9141239
Etzenrot,8.4664085,48.9106109
Spielberg,8.4702015,48.8963768
Langenalb,8.4984243,48.8444597
Conweiler,8.5304573,48.8434858
Schwann,8.5514773,48.8469365
Neusatz,8.4820331,48.8166111
Veitlahm,11.3890505,50.1193039
Wernstein,11.3855486,50.1145818
Mainleus,11.3761976,50.0992499
Pölz,11.3830124,50.0925266
Steinhäusle,8.4459026,48.8207117
Fischweier,8.4514189,48.8889827
Busenbach,8.4542655,48.9305661
Dörnigheim,8.8391629,50.1331707
Bischofsheim,8.8023159,50.1482175
Hochstadt,8.8326859,50.1530587
Bad Segeberg,10.3043959,53.9366645
Struvenhütten,10.0540445,53.8641461
Bockhorn,10.1317863,53.9178605
Hasenmoor,9.9809431,53.8997732
Bredenbekshorst,10.0809134,53.8657745
Schafhaus,10.1690676,53.9199384
Todesfelde,10.1810062,53.894853
Kattendorf,10.0231175,53.8434999
Neumünster,9.9865296,54.0715956
Fuhlenrüe,10.0236043,53.9097923
Stuvenborn,10.1251893,53.8514614
Kisdorferwohld,10.0807099,53.8189574
Ilvesheim,8.5673003,49.4735917
Leeste,8.8224218,52.9923425
Willingrade,10.1132592,54.0276987
Kleinkummerfeld,10.0682483,54.0349498
Wachenbuchen,8.8588213,50.1689496
Westenholz,9.6996088,52.77198
Grünwinkel,8.3551901,49.0017745
Unterhaching,11.6102245,48.0662249
Herzebrock-Clarholz,8.2249038,51.8993207
Hörsten,9.9037305,52.776846
Neckarau,8.4962386,49.4543291
Dortmund,7.4652789,51.5142273
Giften,9.8330136,52.214218
Kemmern,10.8736501,49.9533976
Waldstadt,8.4399015,49.0366826
Rintheim,8.4407597,49.0154961
Staupitz,12.9586722,51.4913914
Beckwitz,12.9937194,51.4967321
Melpitz,12.9380821,51.5279452
Weißig,13.6119712,51.0015607
Kesselsdorf,13.5942849,51.0322245
Steinbach,13.6028722,51.0438454
Pennrich,13.6236509,51.0441703
Gompitz,13.6377166,51.0435315
Unkersdorf,13.5912525,51.0569488
Rennersdorf,13.6085307,51.069234
Brabschütz,13.622591,51.0697817
Lübeck,10.684738,53.866444
Sulzbach,11.4813495,48.5383098
Ovelgönne,9.7524752,53.4495054
Hemmelsdorf,10.7703219,53.9694806
Timmendorfer Strand,10.7799016,53.9981853
Niendorf/Ostsee,10.8237764,53.9933747
Häven,10.8304661,53.9796241
